id	name	status	amount	hash	note
1	Customer 1	active	3.14	d6ae4fa4fbac7d8b1159c0efdddd556d	row 1 chunk demo
2	Customer 2	paused	6.28	edd30c60cbd61f5eaba9462be4ec735b	row 2 chunk demo
3	Customer 3	closed	9.42	e549f3378a9533e13376f3d2ab1c96ec	row 3 chunk demo
4	Customer 4	new	12.57	89eacf48e76fec6c7c4eb43db8d6a0e4	row 4 chunk demo
5	Customer 5	active	15.71	be03e0b2dc6daf5205690028541b1ccb	row 5 chunk demo
6	Customer 6	paused	18.85	1747e2fd701c61a002ee2be23aa04859	row 6 chunk demo
7	Customer 7	closed	21.99	313676e59dfa18e384e59cc260cc523c	row 7 chunk demo
8	Customer 8	new	25.13	8c0a574f252be419460bb26cb46c8425	row 8 chunk demo
9	Customer 9	active	28.27	5293bce005504c961602edc7035169e1	row 9 chunk demo
10	Customer 10	paused	31.42	12ebd147adaba24d9f10070632aaa5e6	row 10 chunk demo
11	Customer 11	closed	34.56	0ab6c95c7fde7a730b3e7db5dc0c5395	row 11 chunk demo
12	Customer 12	new	37.70	c94aa22d4e4c120b05ea49f73310cd9b	row 12 chunk demo
13	Customer 13	active	40.84	7e1a33251d02baae1e51d235d4bdf1d6	row 13 chunk demo
14	Customer 14	paused	43.98	5033bb6801cfcb9e76045461b21edf9c	row 14 chunk demo
15	Customer 15	closed	47.12	59eda826d523c1192a50257e01053665	row 15 chunk demo
16	Customer 16	new	50.27	1d419df54420a81882bf6e58e93a3eaa	row 16 chunk demo
17	Customer 17	active	53.41	44d0dc437936b13f7cea2f77053806bd	\N
18	Customer 18	paused	56.55	96be38e7d075f125de6a735d5583127a	row 18 chunk demo
19	Customer 19	closed	59.69	7a069737bfdefdbfa03dac1a18943b75	row 19 chunk demo
20	Customer 20	new	62.83	ec6506e4325d5271fdd5b2a27bd2cf7d	row 20 chunk demo
21	Customer 21	active	65.97	7cf33d9e93924ff557c57ca8ee5e998e	row 21 chunk demo
22	Customer 22	paused	69.11	df7a883de22d5c9e6e21f2aa89edec13	row 22 chunk demo
23	Customer 23	closed	72.26	ccf44c7ed5993c33418b71b49defdcfe	row 23 chunk demo
24	Customer 24	new	75.40	cc3270bb5e09cb77fb801e3461a81879	row 24 chunk demo
25	Customer 25	active	78.54	c824380539aebacef6aed5df2ed17972	row 25 chunk demo
26	Customer 26	paused	81.68	02a6bf94f0cf6f70d24c1bec61ea173a	row 26 chunk demo
27	Customer 27	closed	84.82	bae75c820329ca21e7f3b1f9e7cbdbb1	row 27 chunk demo
